Date,Close,High,Low,Open,Volume
2024-02-19,8868.5341796875,8958.342120747628,8823.630209157436,8890.986164952532,53341300
2024-02-20,9003.24609375,9003.24609375,8846.082196851621,8846.082196851621,63997700
2024-02-21,8958.3427734375,8980.794760338345,8846.082838933271,8935.890786536653,75371600
2024-02-22,8868.5341796875,8958.342120747628,8868.5341796875,8958.342120747628,66913000
2024-02-23,8823.630859375,8913.438807053117,8801.178872455472,8890.986820133588,55192300
2024-02-26,8801.177734375,8868.533686423789,8733.821782326211,8756.273766342474,41356000
2024-02-27,8868.5341796875,8890.986164952532,8756.274253362342,8756.274253362342,43735800
2024-02-28,8980.7939453125,8980.7939453125,8890.986005859375,8958.34196044922,54043100
2024-02-29,8868.5341796875,8980.794106012658,8846.082194422468,8980.794106012658,126671200
2024-03-01,8823.630859375,8913.438807053117,8801.178872455472,8890.986820133588,51520600
2024-03-04,8756.2744140625,8823.63037109375,8756.2744140625,8801.178385416666,43822900
2024-03-05,8801.177734375,8890.985670440052,8778.725750358737,8890.985670440052,61952900
2024-03-06,8935.8896484375,8980.7936165201,8778.725760148398,8890.9856803549,70242200
2024-03-07,9093.0537109375,9137.957679880401,8980.793788580248,9025.697757523149,118369300
2024-03-08,9115.505859375,9250.217768626848,9093.053874499692,9205.313798876232,100947200
2024-03-13,8980.7939453125,9340.025703125,8980.7939453125,9340.025703125,141622600
2024-03-14,9272.669921875,9272.669921875,9003.246098479116,9025.698083762107,110681100
2024-03-15,9115.505859375,9250.217768626848,9025.697919873768,9160.409829125616,154176800
2024-03-18,9115.505859375,9227.76578375154,9115.505859375,9137.957844250308,62444100
2024-03-19,9137.9580078125,9205.313963644041,9115.506022535319,9115.506022535319,55004800
2024-03-20,9093.0537109375,9115.50569540895,9048.149741994599,9070.60172646605,66269700
2024-03-21,9093.0537109375,9182.861648823302,9025.697757523149,9137.957679880401,90279400
2024-03-22,9070.6015625,9093.053546565594,8935.889658106436,8980.793626237624,91968200
2024-03-25,9256.6533203125,9256.6533203125,9118.83714184631,9256.6533203125,66971000
2024-03-26,9233.68359375,9233.68359375,9141.80614505597,9233.68359375,65742700
2024-03-27,9256.6533203125,9256.6533203125,9187.745231079405,9210.714594157103,39514100
2024-03-28,9256.6533203125,9279.622683390198,9164.775868001707,9210.714594157103,79229700
2024-04-01,9049.9296875,9279.623334390863,9026.960322810914,9256.653969701776,79248700
2024-04-02,9095.8681640625,9141.806892163826,9003.990707859848,9118.837528113163,76763100
2024-04-03,8751.3271484375,9003.990136975066,8751.3271484375,8958.051411786417,177418400
2024-04-04,9049.9296875,9049.9296875,8797.266675920051,8797.266675920051,75993500
2024-04-05,9026.958984375,9141.805790791985,9026.958984375,9141.805790791985,70428600
